代码,名称,PE_TTM,总市值_亿,营业收入,净利润,营收同比%,净利润同比%,ROE%,报告期,币种
00193,冠中地产,-11.07,4873.93,48631632.05,-12655427.05,-5.3263355733,-349.5061950081,-1.690284422743,2025-07-31,HKD
00194,廖创兴企业,141.41,17.04,951251433.16,10881091.34,12.8773060644,101.4392107577,0.114320115112,2025-12-31,HKD
00195,绿科科技国际,5.98,3.82,743893342.5,61976385.8,-11.8646524512,-68.3548110959,7.07229741084,2023-12-31,HKD
00196,宏华集团,35.8,15.19,5493330000.0,38320000.0,-2.4865933777,405.8078141499,1.108237047046,2025-12-31,HKD
00197,亨泰,-0.3,0.61,390308216.35,-187025441.85,-3.1582686768,-4.3955652386,-30.073996081698,2025-06-30,HKD
00199,德祥地产,-5.27,22.64,359467201.41,-750244179.06,289.2117384918,-26.0660023632,-31.953448336851,2025-03-31,HKD
00200,新濠国际发展,8.15,86.22,36346378472.24,955885854.98,11.2457444746,234.8846486695,108.48698690028,2025-12-31,HKD
00201,华大酒店,76.38,6.26,504514305.06,7406404.0,6.247931432,118.3137911781,0.196565450242,2025-12-31,HKD
00202,润中国际控股,119.49,4.67,99832672.23,-37107917.13,5.5589165138,87.4280122309,-3.643899881787,2025-03-31,HKD
00204,资本界金控,-0.25,0.5,9669412.74,-143776914.0,29.6461271962,-442.3469210151,-48.651543468655,2025-03-31,HKD
00205,BFB HEALTH,-158.1,8.76,29911936.74,-5003838.8,9.8371529966,83.9865880449,-2.884267466348,2025-12-31,HKD
00206,华商能源,94.96,11.68,951432425.6,11105504.0,-18.8345835357,-82.7510917031,0.877889952605,2025-12-31,HKD
00209,万维智能科技,-7.84,7.28,345386811.9,-83845912.6,-25.8792265288,-27.1191082628,52.047736122519,2025-12-31,HKD
00210,达芙妮国际,5.6,7.22,363544000.0,116586000.0,12.7978231259,9.3708078089,14.634118787833,2025-12-31,HKD
00211,STYLAND HOLD,-3.82,1.91,63644816.61,-53798220.51,171.7268823135,24.0894826621,-18.992962794031,2025-03-31,HKD
00212,NANYANG HOLD,-19.71,9.85,228707045.86,-45142935.6,26.7738414707,65.925824925,-1.093703328049,2025-12-31,HKD
00213,NATIONAL ELEC H,3.51,3.38,463542331.70958,86651891.34,-13.1294335922,128.2775655651,3.660790737294,2025-03-31,HKD
