代码,名称,PE_TTM,总市值_亿,营业收入,净利润,报告期,币种
000630,铜陵有色,32.88864847,864.910912395,172824678779.99,2415007111.01,2025-12-31,CNY
601186,中国铁建,4.86740663,856.86906865,1029784460000.0,18362618000.0,2025-12-31,CNY
300498,温氏股份,39.19636189,855.6950624826,103862188499.72,5266415817.82,2025-12-31,CNY
002837,英维克,177.30334356,855.5983832088001,6067759091.55,521914773.0,2025-12-31,CNY
300475,香农芯创,46.10175868,855.3172827672,35250892429.77,544594132.23,2025-12-31,CNY
000977,浪潮信息,33.24233855,849.366897252,164781997658.23,2412866308.76,2025-12-31,CNY
601825,沪农商行,6.87846344,848.71111116,25870489000.0,12312825000.0,2025-12-31,CNY
601916,浙商银行,6.52004615,845.9107876603999,62514000000.0,12931000000.0,2025-12-31,CNY
600023,浙能电力,11.41426426,844.750163187,79553931304.55,7528041660.9,2025-12-31,CNY
002128,电投能源,14.37610656,842.6050619391,30114958327.31,5419089199.76,2025-12-31,CNY
301511,德福科技,348.55153267,841.9210954,12436536572.55,112522522.31,2025-12-31,CNY
601231,环旭电子,43.40719348,840.2482559325999,59195055821.58,1853439277.28,2025-12-31,CNY
601838,成都银行,6.23693024,837.5148263456,23602625000.0,13283492000.0,2025-12-31,CNY
000895,双汇发展,15.92286818,837.4086151821001,59459718486.96,5104609986.02,2025-12-31,CNY
688396,华润微,92.2676258,837.1711916039999,11053792007.48,660543164.52,2025-12-31,CNY
001389,广合科技,71.50149981,835.1164509408001,5485371371.05,1015789038.65,2025-12-31,CNY
600498,烽火通信,197.68181762,828.3463472717999,24918554533.91,435834532.08,2025-12-31,CNY
600600,青岛啤酒,17.70015806,827.9300189349001,32473493664.0,4588101137.0,2025-12-31,CNY
600378,昊华科技,52.57110363,824.180757218,16688996654.92,1444467040.45,2025-12-31,CNY
601669,中国电建,8.76317282,818.242568365,646237283223.32,10007143581.45,2025-12-31,CNY
600115,中国东航,82.13530219,817.24625679,139941000000.0,-1633000000.0,2025-12-31,CNY
002851,麦格米特,529.47394375,811.0701656532001,9402840214.9,145752331.81,2025-12-31,CNY
002241,歌尔股份,20.29577796,806.6471939072001,96550169615.26,3940313461.54,2025-12-31,CNY
002648,卫星化学,13.54536385,793.6529245639999,46067886132.18,5310687058.76,2025-12-31,CNY
601077,渝农商行,6.41682901,790.4472,28648293000.0,12128421000.0,2025-12-31,CNY
002625,光启技术,110.21232203,785.347275699,2045720515.92,686946947.27,2025-12-31,CNY
300015,爱尔眼科,23.26453353,784.265859947,22352604724.87,3240259465.09,2025-12-31,CNY
688777,中控技术,197.56319387,782.486442203,8072577675.26,441478911.02,2025-12-31,CNY
300390,天华新能,59.65474877,781.1549659564,7548826104.54,402189233.13,2025-12-31,CNY
300666,江丰电子,140.53355716,775.797677092,4604100743.12,499503040.66,2025-12-31,CNY
002179,中航光电,40.25434616,772.861059765,21386059440.13,2161521950.25,2025-12-31,CNY
600236,桂冠电力,21.46312067,771.6847868158001,10392934752.84,3279598444.12,2025-12-31,CNY
002027,分众传媒,21.41834237,771.2134653684,12758696542.16,2946332500.88,2025-12-31,CNY
000301,东方盛虹,62.65780533,767.5640723519999,125587320327.07,133746317.81,2025-12-31,CNY
600105,永鼎股份,745.00567878,765.0618798866001,5286822892.02,233640658.03,2025-12-31,CNY
600703,三安光电,-152.98836235,761.3242577402001,17949195361.73,-353214166.9,2025-12-31,CNY
688249,晶合集成,122.87523351,761.0780123327,10885449273.3,704204446.26,2025-12-31,CNY
688809,强一股份,154.07749211,759.43774881,1012104477.17,394924921.76,2025-12-31,CNY
600674,川投能源,15.99057072,756.0515190228,1667654821.96,4754148319.5,2025-12-31,CNY
600958,东方证券,12.95420378,749.4041147544,15358190328.79,5633559541.41,2025-12-31,CNY
301638,南网数字,107.47058592,748.807629165,7217331490.24,629799970.12,2025-12-31,CNY
601958,金钼股份,22.15709484,748.5722208,13834275518.74,3154805423.48,2025-12-31,CNY
603228,景旺电子,65.55148695,746.5216461739999,15308052020.33,1230969813.3,2025-12-31,CNY
001979,招商蛇口,120.75628366,745.6258605417,154727977005.92,1023784320.62,2025-12-31,CNY
688361,中科飞测,13183.61884775,745.0073030412,2053298171.74,58652552.17,2025-12-31,CNY
688729,屹唐股份,121.49167077,744.210008,5076317948.58,670779306.87,2025-12-31,CNY
000636,风华高科,242.09436951,743.959494673,5756408165.14,283316717.04,2025-12-31,CNY
002311,海大集团,19.0156271,738.7765332660001,128468230914.96,4280330734.08,2025-12-31,CNY
688187,时代电气,17.96885612,738.2716004136,28702700063.0,4096540421.0,2025-12-31,CNY
000625,长安汽车,23.99971712,737.5215539328,163999803875.87,4075223181.54,2025-12-31,CNY
603195,公牛集团,17.62228067,732.0225719361999,16026312556.45,4070632747.77,2025-12-31,CNY
300620,光库科技,347.26661085,731.2203093025,1473966074.8,176672911.07,2025-12-31,CNY
600039,四川路桥,10.33353916,725.212259793,115111412828.74,7296866124.06,2025-12-31,CNY
000938,紫光股份,34.12092682,725.030248059,96748339344.03,1685521754.82,2025-12-31,CNY
300054,鼎龙股份,86.6352029,719.2167315539999,3659907017.15,720204539.6,2025-12-31,CNY
688519,南亚新材,194.52999505,718.47625031,5227828810.43,240327620.48,2025-12-31,CNY
600436,片仔癀,37.53422053,714.025918035,9001411806.06,2158633048.42,2025-12-31,CNY
600482,中国动力,47.64926123,711.5488856416,57799963168.11,1300885777.44,2025-12-31,CNY
600418,江淮汽车,-33.80896214,705.106939396,46568671058.98,-1702573514.4,2025-12-31,CNY
002484,江海股份,102.87066729,704.233823148,5484333025.91,674594231.19,2025-12-31,CNY
601168,西部矿业,15.92285035,703.9382,61686769908.0,3642686772.0,2025-12-31,CNY
300223,北京君正,113.25976067,703.6832875483,4741007597.96,376226023.06,2025-12-31,CNY
300450,先导智能,43.6008482,699.3222929817999,14443080424.36,1563777858.17,2025-12-31,CNY
000708,中信特钢,11.52543147,698.0220007731,107373484700.24,5928668055.97,2025-12-31,CNY
601179,中国西电,52.21338753,689.9437645792,23812998981.75,1269679596.14,2025-12-31,CNY
688313,仕佳光子,173.26465758,684.75928692,2129124774.13,372228513.24,2025-12-31,CNY
603893,瑞芯微,58.11392065,673.92815568,4402090888.24,1039952125.0,2025-12-31,CNY
